User ID,Product ID,Product Name,Brand,Category,Price,Rating,Color,Size,content_profile,Price_scaled,Rating_scaled
19,1,Dress,Adidas,Men's Fashion,40,1.0431592108361825,Black,XL,Dress Adidas Men's Fashion Black XL,0.3333333333333333,0.010582394344131926
97,2,Shoes,H&M,Women's Fashion,82,4.026416271141911,Black,L,Shoes H&M Women's Fashion Black L,0.8,0.7588290060919298
25,3,Dress,Adidas,Women's Fashion,44,3.337937559377053,Yellow,XL,Dress Adidas Women's Fashion Yellow XL,0.37777777777777777,0.5861479890273962
57,4,Shoes,Zara,Men's Fashion,23,1.0495229563128543,White,S,Shoes Zara Men's Fashion White S,0.14444444444444443,0.012178519282308424
79,5,T-shirt,Adidas,Men's Fashion,79,4.302773408398684,Black,M,T-shirt Adidas Men's Fashion Black M,0.7666666666666667,0.8281436133834349
98,6,Dress,Adidas,Men's Fashion,47,1.3795657395330458,Yellow,L,Dress Adidas Men's Fashion Yellow L,0.4111111111111111,0.09495830972082099
16,7,Jeans,Gucci,Men's Fashion,37,1.3567503746842564,White,XL,Jeans Gucci Men's Fashion White XL,0.3,0.08923586639837161
63,8,Sweater,Zara,Kids' Fashion,64,4.36030328941572,Blue,XL,Sweater Zara Kids' Fashion Blue XL,0.6,0.8425729896239255
96,9,Sweater,H&M,Men's Fashion,53,4.466181876278437,Green,XL,Sweater H&M Men's Fashion Green XL,0.4777777777777778,0.8691289626008415
36,10,T-shirt,Zara,Kids' Fashion,55,4.093234402033421,White,XL,T-shirt Zara Kids' Fashion White XL,0.5,0.7755880178137589
69,11,T-shirt,Adidas,Men's Fashion,51,1.1609879573062742,Red,S,T-shirt Adidas Men's Fashion Red S,0.45555555555555555,0.04013565057733806
87,12,Sweater,Gucci,Kids' Fashion,91,2.699735537578599,Yellow,M,Sweater Gucci Kids' Fashion Yellow M,0.9,0.4260771366777334
9,13,Jeans,Nike,Kids' Fashion,35,1.6011935800534172,Red,M,Jeans Nike Kids' Fashion Red M,0.2777777777777778,0.150545970249597
50,14,Dress,Zara,Women's Fashion,34,2.921004203947349,White,L,Dress Zara Women's Fashion White L,0.26666666666666666,0.481574710822217
31,15,Shoes,Zara,Men's Fashion,54,3.670412239336502,Yellow,M,Shoes Zara Men's Fashion Yellow M,0.4888888888888889,0.6695377364553622
37,16,Dress,Adidas,Women's Fashion,27,1.4227161428043575,Blue,S,Dress Adidas Women's Fashion Blue S,0.18888888888888888,0.10578109246821228
41,17,Dress,Gucci,Women's Fashion,75,1.4806321322978917,Blue,XL,Dress Gucci Women's Fashion Blue XL,0.7222222222222222,0.1203073106346471
15,18,Jeans,Gucci,Women's Fashion,73,4.498244680519686,Red,XL,Jeans Gucci Women's Fashion Red XL,0.7,0.8771708055100103
